,id_diet,tipe_diet,tipe_masakan,resep_masakan,kadar_protein,kadar_karbo,kadar_lemak,fitur_tfidf,segmentasi_kadar_protein,segmentasi_kadar_karbo,segmentasi_kadar_lemak
6642,1259,dash,world,Sammy’S Maui Mama,0.49,20.96,0.15,dash Sammy’S Maui Mama world,0,0,0
6644,1260,dash,world,The Prince Of Wales' Cocktail,0.31,9.79,0.06,dash The Prince Of Wales' Cocktail world,0,0,0
6652,1261,dash,world,Bourbon Renewal Recipe,0.33,19.7,0.13,dash Bourbon Renewal Recipe world,0,0,0
6658,1262,dash,world,Ruby Can'T Fail,0.31,13.35,0.07,dash Ruby Can'T Fail world,0,0,0
6691,1263,dash,world,Muckraker Punch Recipe,0.17,11.19,0.11,dash Muckraker Punch Recipe world,0,0,0
6698,1264,dash,world,"100-Year-Old Cigar (Rum, Scotch, And Cynar Cocktail) Recipe",0.03,9.13,0.09,"dash 100-Year-Old Cigar (Rum, Scotch, And Cynar Cocktail) Recipe world",0,0,0
6724,1265,dash,world,Le Bleu Glacier,0.19,5.71,0.05,dash Le Bleu Glacier world,0,0,0
6730,1266,dash,world,Slushies For Grownups,2.01,85.23,0.78,dash Slushies For Grownups world,0,3,0
6736,1267,dash,world,Test Pilot,0.09,20.31,0.07,dash Test Pilot world,0,0,0
6737,1268,dash,world,Pineapple Sage Mojito,0.87,20.62,0.71,dash Pineapple Sage Mojito world,0,0,0
6750,1269,dash,world,Test Pilot Recipe,0.06,10.68,0.01,dash Test Pilot Recipe world,0,0,0
6756,1270,dash,world,Drunken Cranberry-Orange Relish,4.94,230.76,5.56,dash Drunken Cranberry-Orange Relish world,0,1,0
6760,1271,dash,world,The Pink Drink,2.87,52.66,0.6,dash The Pink Drink world,0,2,0
6768,1272,dash,world,The Bijou,0.03,5.34,0.04,dash The Bijou world,0,0,0
6792,1273,dash,world,Blackberry Mary,1.19,17.3,0.35,dash Blackberry Mary world,0,0,0
6795,1274,dash,world,Pasion Andina,0.69,27.55,0.22,dash Pasion Andina world,0,0,0
6823,1275,dash,world,Edible Pantries Recipe,0.01,2.55,0.0,dash Edible Pantries Recipe world,0,0,0
6890,1276,dash,world,The Blood Orange Marmalade Sour,1.68,25.24,0.08,dash The Blood Orange Marmalade Sour world,0,0,0
6909,1277,dash,world,Viewing Party Cocktail: A Brief History Of Thyme,0.6,11.19,0.29,dash Viewing Party Cocktail: A Brief History Of Thyme world,0,0,0
6919,1278,dash,world,Blood Mary Pickles,6.64,43.62,1.55,dash Blood Mary Pickles world,0,2,0
6959,1279,dash,world,Mai Tai,0.49,16.72,0.14,dash Mai Tai world,0,0,0
7019,1280,dash,world,"Stella! (Gin Fizz With Cointreau, Orange Juice & Orange Flower Water)",2.35,9.79,10.59,"dash Stella! (Gin Fizz With Cointreau, Orange Juice & Orange Flower Water) world",0,0,0
7026,1281,dash,world,Green With Envy,0.78,17.57,0.27,dash Green With Envy world,0,0,0
7033,1282,dash,world,Ramos Gin Fizz,4.13,13.39,1.73,dash Ramos Gin Fizz world,0,0,0
7072,1283,dash,world,Celery Daisy,0.16,7.17,0.05,dash Celery Daisy world,0,0,0
7084,1284,dash,world,Time For A Drink: Reveillon Cocktail Recipe,0.87,10.42,1.23,dash Time For A Drink: Reveillon Cocktail Recipe world,0,0,0
7233,1285,dash,world,Old Fashioned,0.12,9.66,0.02,dash Old Fashioned world,0,0,0
7294,1286,dash,world,Frozen Pina Colada With Mango Puree,5.49,117.69,13.74,dash Frozen Pina Colada With Mango Puree world,0,3,0
7331,1287,dash,world,Drink The Book: The Dahlgren Recipe,1.83,94.39,0.7,dash Drink The Book: The Dahlgren Recipe world,0,3,0
7335,1288,dash,world,Smoky Pear & Ginger Margarita,0.68,24.6,0.24,dash Smoky Pear & Ginger Margarita world,0,0,0
7401,1289,dash,world,The Ultimate Fully-Loaded Bloody Mary Recipe,1.69,8.33,0.55,dash The Ultimate Fully-Loaded Bloody Mary Recipe world,0,0,0
7479,1290,dash,world,The Michelada,4.01,31.24,0.14,dash The Michelada world,0,2,0
7529,1291,dash,world,Seelbach,0.19,6.63,0.0,dash Seelbach world,0,0,0
7564,1292,dash,world,Apple Inception Cocktail,0.23,7.09,0.1,dash Apple Inception Cocktail world,0,0,0
7569,1293,dash,world,Seelbach Cocktail,0.13,10.32,0.07,dash Seelbach Cocktail world,0,0,0
7590,1294,dash,world,Vermouth Cocktail Recipe,0.13,3.87,0.02,dash Vermouth Cocktail Recipe world,0,0,0
7595,1295,dash,world,Queens Park Swizzle Recipe,0.23,18.61,0.06,dash Queens Park Swizzle Recipe world,0,0,0
7597,1296,dash,world,Sazerac,1.06,7.23,0.95,dash Sazerac world,0,0,0
7600,1297,dash,world,The Jameson Black Barrel Old Fashioned,0.23,14.99,0.14,dash The Jameson Black Barrel Old Fashioned world,0,0,0
7601,1298,dash,world,"Gin And Tonic, Remixed",2.96,30.28,0.56,"dash Gin And Tonic, Remixed world",0,2,0
7629,1299,dash,world,Red Snapper Cocktail Recipe,1.64,8.71,0.61,dash Red Snapper Cocktail Recipe world,0,0,0
7632,1300,dash,world,Maple Leaf Sazerac From Minetta Tavern,0.02,17.27,0.02,dash Maple Leaf Sazerac From Minetta Tavern world,0,0,0
7644,1301,dash,world,Cardamom Blush Cocktail Recipe,0.11,23.24,0.07,dash Cardamom Blush Cocktail Recipe world,0,0,0
7664,1302,dash,world,Cardamom Blush Cocktail Recipes,0.11,23.24,0.07,dash Cardamom Blush Cocktail Recipes world,0,0,0
7671,1303,dash,world,Hungarian Sour Cherry Soup (Meggyleves),27.96,180.99,120.39,dash Hungarian Sour Cherry Soup (Meggyleves) world,2,1,1
7680,1304,dash,world,Zombie Punch Recipe,0.25,89.85,0.06,dash Zombie Punch Recipe world,0,3,0
7683,1305,dash,world,Time For A Drink: Bloody Mary Recipe,1.03,5.12,0.37,dash Time For A Drink: Bloody Mary Recipe world,0,0,0
7712,1306,dash,world,Mita Mary,2.09,15.26,4.68,dash Mita Mary world,0,0,0
7716,1307,dash,world,Time For A Drink: Cocktail À La Louisiane Recipe,0.04,7.45,0.06,dash Time For A Drink: Cocktail À La Louisiane Recipe world,0,0,0
7726,1308,dash,world,Seelbach Cocktail Recipe,0.1,3.71,0.0,dash Seelbach Cocktail Recipe world,0,0,0
7731,1309,dash,world,Manhattan Cocktail Recipe,0.02,0.83,0.0,dash Manhattan Cocktail Recipe world,0,0,0
7739,1310,dash,world,Class Act,1.63,7.6,0.04,dash Class Act world,0,0,0
7744,1311,dash,world,The Ultimate Ketel One Blood Mary,1.35,9.04,0.41,dash The Ultimate Ketel One Blood Mary world,0,0,0
7752,1312,dash,world,The Outcider From Prime Meats Recipe,2.13,58.24,0.7,dash The Outcider From Prime Meats Recipe world,0,2,0
7756,1313,dash,world,Lillet Of The Valley Recipe,0.42,14.98,0.15,dash Lillet Of The Valley Recipe world,0,0,0
7770,1314,dash,world,Cognac Sparklers Recipes,0.25,28.02,0.32,dash Cognac Sparklers Recipes world,0,0,0
7780,1315,dash,world,Bloody Mary Recipes,1.2,6.82,0.43,dash Bloody Mary Recipes world,0,0,0
7783,1316,dash,world,Manhattan,0.03,2.95,0.01,dash Manhattan world,0,0,0
7785,1317,dash,world,No Man'S Land,0.05,15.26,0.03,dash No Man'S Land world,0,0,0
7788,1318,dash,world,Luis Buñuel Dry Martini,0.01,0.39,0.0,dash Luis Buñuel Dry Martini world,0,0,0
2797,1319,keto,american,Keto Egg Bites Recipe,92.86,16.19,86.51,keto Keto Egg Bites Recipe american,1,0,3
2798,1320,keto,american,Keto Key Lime Mousse,27.49,23.58,177.43,keto Keto Key Lime Mousse american,2,0,1
2803,1321,keto,american,Low-Carb Cloud Bread,21.42,4.95,29.16,keto Low-Carb Cloud Bread american,2,0,0
2804,1322,keto,american,Cheesy Chaffle Sandwiches With Avocado & Bacon,118.4,41.7,171.12,keto Cheesy Chaffle Sandwiches With Avocado & Bacon american,1,2,1
2813,1323,keto,american,Keto Burger Stuffed Onions,104.16,50.23,172.2,keto Keto Burger Stuffed Onions american,1,2,1
2814,1324,keto,american,Keto Tuna Melt Bites,115.3,11.02,160.48,keto Keto Tuna Melt Bites american,1,0,1
2817,1325,keto,american,Keto Meatballs,125.59,78.78,147.26,keto Keto Meatballs american,1,3,1
2820,1326,keto,american,Keto Tortilla Chips,75.52,29.82,106.27,keto Keto Tortilla Chips american,3,0,3
2821,1327,keto,american,Keto Chocolate Truffles,22.41,113.66,110.0,keto Keto Chocolate Truffles american,2,3,3
2823,1328,keto,american,Keto Egg Salad,89.52,26.35,153.53,keto Keto Egg Salad american,1,0,1
2825,1329,keto,american,Rosemary Keto Crackers,91.17,88.91,176.7,keto Rosemary Keto Crackers american,1,3,1
2826,1330,keto,american,Keto Garlic Bread,50.71,24.36,81.73,keto Keto Garlic Bread american,3,0,3
2828,1331,keto,american,Keto Cloud Bread,27.49,12.15,39.9,keto Keto Cloud Bread american,2,0,2
2829,1332,keto,american,Keto Stuffed Peppers,163.23,67.97,218.55,keto Keto Stuffed Peppers american,1,2,1
2835,1333,keto,american,Keto Shepherd'S Pie,143.91,63.05,224.7,keto Keto Shepherd'S Pie american,1,2,1
2836,1334,keto,american,Keto Burger Fat Bombs,94.75,12.94,142.06,keto Keto Burger Fat Bombs american,1,0,1
2844,1335,keto,american,Keto Broccoli Cheddar Soup,68.77,52.09,150.23,keto Keto Broccoli Cheddar Soup american,3,2,1
2853,1336,keto,american,Custard Keto Donuts,37.15,92.23,182.83,keto Custard Keto Donuts american,2,3,1
2855,1337,keto,american,"Blueberry Donut Holes (Keto, Paleo, Vegan)",41.52,121.43,114.45,"keto Blueberry Donut Holes (Keto, Paleo, Vegan) american",3,3,3
2857,1338,keto,american,Keto Salad Dressing,14.04,2.67,29.15,keto Keto Salad Dressing american,0,0,0
2860,1339,keto,american,(Salted Caramel!) Pecan Keto Turtle Candy,16.65,62.95,111.16,keto (Salted Caramel!) Pecan Keto Turtle Candy american,0,2,3
2862,1340,keto,american,Vegetarian Keto Burgers Recipes,34.76,54.1,62.81,keto Vegetarian Keto Burgers Recipes american,2,2,2
2863,1341,keto,american,Keto Crab Dip,47.21,7.99,89.28,keto Keto Crab Dip american,3,0,3
2867,1342,keto,american,Keto Crack Coffee,1.8,17.86,24.88,keto Keto Crack Coffee american,0,0,0
2870,1343,keto,american,Keto Pepper Steak,54.18,23.45,24.95,keto Keto Pepper Steak american,3,0,0
2871,1344,keto,american,Air Fried Keto Thai Chili Cauliflower Bites,23.02,51.98,59.55,keto Air Fried Keto Thai Chili Cauliflower Bites american,2,2,2
2873,1345,keto,american,Easy Keto Berry Side Salad,13.07,14.86,21.18,keto Easy Keto Berry Side Salad american,0,0,0
2874,1346,keto,american,Healthy Keto Shamrock Shake,9.02,51.03,48.16,keto Healthy Keto Shamrock Shake american,0,2,2
2876,1347,keto,american,Pulled Pork Keto Stuffed Mushrooms,66.88,54.19,99.83,keto Pulled Pork Keto Stuffed Mushrooms american,3,2,3
2878,1348,keto,american,Keto Bbq Liver Meatballs,101.05,132.42,112.01,keto Keto Bbq Liver Meatballs american,1,3,3
2879,1349,keto,american,Coffee Rubbed Steak (Paleo + Keto),93.25,17.35,37.13,keto Coffee Rubbed Steak (Paleo + Keto) american,1,0,2
2880,1350,keto,american,Keto Collagen Chocolate Peanut Butter Mousse,48.19,119.65,234.69,keto Keto Collagen Chocolate Peanut Butter Mousse american,3,3,1
2888,1351,keto,american,"Blueberry Cream Cheese Low-Carb, Keto Filling",14.57,31.47,78.15,"keto Blueberry Cream Cheese Low-Carb, Keto Filling american",0,2,3
2891,1352,keto,american,Keto Hash Browns With Grated Radishes,15.06,43.85,71.71,keto Keto Hash Browns With Grated Radishes american,0,2,3
2895,1353,keto,american,"Low Carb, Keto Friendly Buffalo Chicken Meatballs",115.64,9.41,95.36,"keto Low Carb, Keto Friendly Buffalo Chicken Meatballs american",1,0,3
2896,1354,keto,american,Keto Double Chocolate Chip Mug Cake,14.01,39.76,35.37,keto Keto Double Chocolate Chip Mug Cake american,0,2,2
2898,1355,keto,american,Sugar Free Maple Almond Fudge Fat Bomb,26.69,36.97,142.62,keto Sugar Free Maple Almond Fudge Fat Bomb american,2,2,1
2899,1356,keto,american,Raspberry Chocolate Chip Magic Squares,21.98,189.39,186.6,keto Raspberry Chocolate Chip Magic Squares american,2,1,1
2900,1357,keto,american,Mango Popsicles,27.85,88.59,53.01,keto Mango Popsicles american,2,3,2
2902,1358,keto,american,Spicy Pulled Pork Lettuce Wraps Recipes,117.2,9.28,73.87,keto Spicy Pulled Pork Lettuce Wraps Recipes american,1,0,3
2908,1359,keto,american,Butternut Squash Mac And Cheese,116.54,100.72,190.88,keto Butternut Squash Mac And Cheese american,1,3,1
2918,1360,keto,american,Keto Flappers,54.66,39.12,80.76,keto Keto Flappers american,3,2,3
2920,1361,keto,american,Low-Carb Roasted Pumpkin Spice Pecans,18.5,33.1,170.41,keto Low-Carb Roasted Pumpkin Spice Pecans american,2,2,1
2922,1362,keto,american,Keto Meatloaf,152.26,15.98,131.28,keto Keto Meatloaf american,1,0,1
2923,1363,keto,american,Keto Roti,10.49,19.64,6.35,keto Keto Roti american,0,0,0
2927,1364,keto,american,Keto Chili,155.73,45.43,34.82,keto Keto Chili american,1,2,2
2930,1365,keto,american,Keto Hashbrowns,31.03,15.4,33.51,keto Keto Hashbrowns american,2,0,2
2937,1366,keto,american,Keto Bagels,53.48,39.05,87.62,keto Keto Bagels american,3,2,3
2941,1367,keto,american,Chocolate Lava Cakes,18.22,50.69,80.62,keto Chocolate Lava Cakes american,2,2,3
2948,1368,keto,american,Keto Bread,8.06,7.16,45.79,keto Keto Bread american,0,0,2
2954,1369,keto,american,Spooky Halloween Blackberry Jelly Bats,59.59,23.29,1.15,keto Spooky Halloween Blackberry Jelly Bats american,3,0,0
2957,1370,keto,american,Keto Cauliflower Bake,65.77,36.13,180.24,keto Keto Cauliflower Bake american,3,2,1
2961,1371,keto,american,Keto Condensed Milk,3.48,11.42,141.73,keto Keto Condensed Milk american,0,0,1
2962,1372,keto,american,Keto Hamburger Hash,159.34,26.84,65.4,keto Keto Hamburger Hash american,1,0,2
2967,1373,keto,american,Keto Pumpkin Bake,43.45,48.79,98.11,keto Keto Pumpkin Bake american,3,2,3
2969,1374,keto,american,Keto Bounty Balls,5.95,71.26,101.43,keto Keto Bounty Balls american,0,2,3
2970,1375,keto,american,Keto Deviled Eggs,48.84,3.52,60.07,keto Keto Deviled Eggs american,3,0,2
2974,1376,keto,american,Keto Lemon Bars,43.31,37.35,150.99,keto Keto Lemon Bars american,3,2,1
2980,1377,keto,american,Cajun Keto Crackers,114.88,28.39,160.4,keto Cajun Keto Crackers american,1,0,1
2981,1378,keto,american,Keto Pumpkin Soup,29.99,78.79,135.78,keto Keto Pumpkin Soup american,2,3,1
2983,1379,keto,american,Keto Peppermint Mocha,2.07,4.72,1.19,keto Keto Peppermint Mocha american,0,0,0
2987,1380,keto,american,Keto Cheesy Eggs,43.94,3.04,96.5,keto Keto Cheesy Eggs american,3,0,3
2990,1381,keto,american,Keto Blt Bites,62.15,43.66,73.72,keto Keto Blt Bites american,3,2,3
2991,1382,keto,american,Keto Cheese Meatballs,118.08,6.55,131.91,keto Keto Cheese Meatballs american,1,0,1
2992,1383,keto,american,Keto Avocado Fries,93.17,66.17,168.71,keto Keto Avocado Fries american,1,2,1
2994,1384,keto,american,Keto Pumpkin Bread,28.78,31.33,113.55,keto Keto Pumpkin Bread american,2,2,3
2997,1385,keto,american,Keto Orange Creamsicles,4.88,48.22,88.06,keto Keto Orange Creamsicles american,0,2,3
3001,1386,keto,american,Keto Pie Crust,57.68,96.27,155.31,keto Keto Pie Crust american,3,3,1
3009,1387,keto,american,Keto Chocolate Shake,21.1,38.16,195.52,keto Keto Chocolate Shake american,2,2,1
3012,1388,keto,american,Nutty Keto Chcocolate,13.45,27.01,180.93,keto Nutty Keto Chcocolate american,0,0,1
3013,1389,keto,american,Keto Fried Chicken,144.72,30.81,202.39,keto Keto Fried Chicken american,1,2,1
3017,1390,keto,american,"Keto Chocolate Cashew Cream Bites - Keto, Paleo, Vegan",54.58,120.22,210.31,"keto Keto Chocolate Cashew Cream Bites - Keto, Paleo, Vegan american",3,3,1
3019,1391,keto,american,Keto Pumpkin Pie,35.05,55.79,79.23,keto Keto Pumpkin Pie american,2,2,3
3021,1392,keto,american,Keto Honey Mustard,0.62,3.08,89.16,keto Keto Honey Mustard american,0,0,3
3024,1393,keto,american,Keto Potato Salad,20.46,83.52,62.05,keto Keto Potato Salad american,2,3,2
3027,1394,keto,american,Keto Mashed Cauliflower,32.19,75.85,117.07,keto Keto Mashed Cauliflower american,2,3,1
3028,1395,keto,american,Keto Fudge Recipes,5.36,44.76,233.0,keto Keto Fudge Recipes american,0,2,1
3030,1396,keto,american,Keto Almond Bread,12.67,8.04,30.28,keto Keto Almond Bread american,0,0,0
3037,1397,keto,american,Keto Chicken Strips,163.47,4.71,176.78,keto Keto Chicken Strips american,1,0,1
3041,1398,keto,american,Keto Butter Burgers,91.8,1.77,121.45,keto Keto Butter Burgers american,1,0,1
3049,1399,keto,american,Keto Homemade Mayo,5.45,2.27,225.06,keto Keto Homemade Mayo american,0,0,1
3052,1400,keto,american,Keto Avocado Dessert,5.27,21.55,51.49,keto Keto Avocado Dessert american,0,0,2
3055,1401,keto,american,Spooky Halloween Spiced Carrot Jellies,49.71,27.03,0.59,keto Spooky Halloween Spiced Carrot Jellies american,3,0,0
3057,1402,keto,american,Keto Caesar Salad,25.94,15.13,37.12,keto Keto Caesar Salad american,2,0,2
3065,1403,keto,american,Keto Butter Chicken,157.6,55.84,114.83,keto Keto Butter Chicken american,1,2,3
3066,1404,keto,american,Keto Waldorf Salad,6.74,27.28,63.62,keto Keto Waldorf Salad american,0,0,2
3067,1405,keto,american,Keto Cheddar Biscuits,68.93,173.85,46.0,keto Keto Cheddar Biscuits american,3,1,2
3068,1406,keto,american,Keto Salad Recipes,47.16,30.61,65.69,keto Keto Salad Recipes american,3,2,2
3069,1407,keto,american,Keto Tuna Salad,169.41,24.22,90.26,keto Keto Tuna Salad american,1,0,3
3070,1408,keto,american,Ultimate Keto Hamburgers,60.89,64.68,115.62,keto Ultimate Keto Hamburgers american,3,2,3
3071,1409,keto,american,Keto Krab Kakes,95.15,26.93,93.95,keto Keto Krab Kakes american,1,0,3
3072,1410,keto,american,Dublin Coddle | Keto,108.42,71.48,203.66,keto Dublin Coddle | Keto american,1,2,1
3092,1411,keto,american,Keto Apple Crisp,25.26,64.02,110.89,keto Keto Apple Crisp american,2,2,3
3096,1412,keto,american,Keto Lobster Cakes,98.58,9.85,43.58,keto Keto Lobster Cakes american,1,0,2
3097,1413,keto,american,Keto Steak And Eggs,40.01,5.81,47.38,keto Keto Steak And Eggs american,2,0,2
3102,1414,keto,american,Keto Chili Recipes,156.97,69.74,236.85,keto Keto Chili Recipes american,1,2,1
3111,1415,keto,american,Keto Chicken Fritters,133.95,21.22,163.38,keto Keto Chicken Fritters american,1,0,1
3114,1416,keto,american,Keto Mug Cake,19.73,87.96,30.93,keto Keto Mug Cake american,2,3,0
3119,1417,keto,american,Keto Cocoa Mug Cake,22.33,17.21,57.84,keto Keto Cocoa Mug Cake american,2,0,2
3122,1418,keto,american,Keto Chocolate Mini Cheesecakes,42.28,47.39,212.13,keto Keto Chocolate Mini Cheesecakes american,3,2,1
3123,1419,keto,american,Mounds Keto Fat Bomb,12.02,45.95,193.48,keto Mounds Keto Fat Bomb american,0,2,1
3124,1420,keto,american,Keto Pumpkin Spice Martini,3.06,3.93,25.23,keto Keto Pumpkin Spice Martini american,0,0,0
3134,1421,keto,american,Keto Cauliflower Hash Browns,49.86,20.03,61.7,keto Keto Cauliflower Hash Browns american,3,0,2
3137,1422,keto,american,Keto Sweetened Condensed Milk,9.87,93.1,214.32,keto Keto Sweetened Condensed Milk american,0,3,1
3140,1423,keto,american,Keto-Friendly Cinnamon Biscuits,50.8,32.85,118.02,keto Keto-Friendly Cinnamon Biscuits american,3,2,1
3146,1424,keto,american,Keto Smothered Green Beans,93.62,38.53,169.33,keto Keto Smothered Green Beans american,1,2,1
3147,1425,keto,american,Keto Chicken Nuggets Recipes,32.52,3.99,23.14,keto Keto Chicken Nuggets Recipes american,2,0,0
3150,1426,keto,american,Lazy Keto Chicken Recipes,115.17,7.89,116.85,keto Lazy Keto Chicken Recipes american,1,0,1
3153,1427,keto,american,Keto Zucchini Dip Recipes,7.53,12.68,120.49,keto Keto Zucchini Dip Recipes american,0,0,1
3156,1428,keto,american,Keto Egg Salad Recipes,52.53,13.15,157.18,keto Keto Egg Salad Recipes american,3,0,1
3157,1429,keto,american,Classic Pub Goulash (Keto),108.19,55.27,63.37,keto Classic Pub Goulash (Keto) american,1,2,2
3160,1430,keto,american,Keto Bone Broth Latte,0.26,1.53,26.54,keto Keto Bone Broth Latte american,0,0,0
3161,1431,keto,american,Keto Strawberry Ice Cream,12.68,23.77,220.37,keto Keto Strawberry Ice Cream american,0,0,1
3162,1432,keto,american,Keto Egg Drop Soup,40.17,5.65,56.92,keto Keto Egg Drop Soup american,2,0,2
3164,1433,keto,american,Keto Low Carb Flatbread,137.31,25.3,174.15,keto Keto Low Carb Flatbread american,1,0,1
3167,1434,keto,american,Keto Creamsicle Jello Recipes,11.21,21.29,133.44,keto Keto Creamsicle Jello Recipes american,0,0,1
3171,1435,keto,american,Collagen Keto Chocolate Mousse,13.73,44.37,30.89,keto Collagen Keto Chocolate Mousse american,0,2,0
3174,1436,keto,american,"Cinnabombs (Keto, Paleo, Vegan)",17.52,17.89,100.77,"keto Cinnabombs (Keto, Paleo, Vegan) american",2,0,3
3175,1437,keto,american,Keto Blueberry Ice Cream,7.11,18.59,98.01,keto Keto Blueberry Ice Cream american,0,0,3
3176,1438,keto,american,Walnut Keto Fudge Recipes,17.41,45.35,166.73,keto Walnut Keto Fudge Recipes american,0,2,1
3178,1439,keto,american,Keto Pancake Breakfast Sandwich,21.78,3.68,52.63,keto Keto Pancake Breakfast Sandwich american,2,0,2
3185,1440,keto,american,Keto Guacamole Egg Stacks,14.96,15.11,23.24,keto Keto Guacamole Egg Stacks american,0,0,0
3186,1441,keto,american,Keto Bacon Cheeseburger Soup,160.71,64.62,240.86,keto Keto Bacon Cheeseburger Soup american,1,2,1
3188,1442,keto,american,Keto Raspberry Valentines Recipes,7.55,17.0,139.56,keto Keto Raspberry Valentines Recipes american,0,0,1
3191,1443,keto,american,Keto Chicken Pesto Burgers,131.09,14.73,107.32,keto Keto Chicken Pesto Burgers american,1,0,3
3197,1444,keto,american,Keto Pancakes: Cinnamon Delight,28.94,36.86,157.86,keto Keto Pancakes: Cinnamon Delight american,2,2,1
3199,1445,keto,american,Keto Cream Cheese Waffles,53.57,28.28,94.38,keto Keto Cream Cheese Waffles american,3,0,3
3200,1446,keto,american,Keto Buffalo Chicken Taquitos,101.01,4.97,174.56,keto Keto Buffalo Chicken Taquitos american,1,0,1
3204,1447,keto,american,Keto Philly Cheesesteak Omelet,61.45,8.99,83.91,keto Keto Philly Cheesesteak Omelet american,3,0,3
3205,1448,keto,american,Quick Keto Chocolate Mousse,9.6,13.79,74.63,keto Quick Keto Chocolate Mousse american,0,0,3
3208,1449,keto,american,Keto Cheddar Bay Biscuits,47.64,22.76,109.96,keto Keto Cheddar Bay Biscuits american,3,0,3
3215,1450,keto,american,Keto Hazelnut Truffles Recipes,12.9,55.5,74.01,keto Keto Hazelnut Truffles Recipes american,0,2,3
3216,1451,keto,american,Keto Pie Crust Recipes,34.13,79.9,72.89,keto Keto Pie Crust Recipes american,2,3,3
3220,1452,keto,american,Keto Classic Salad Recipe,15.98,14.88,13.42,keto Keto Classic Salad Recipe american,0,0,0
3224,1453,keto,american,Blueberry Keto Cake Recipes,52.14,68.4,138.8,keto Blueberry Keto Cake Recipes american,3,2,1
3225,1454,keto,american,Keto Crab Dip Soup,156.46,46.93,205.16,keto Keto Crab Dip Soup american,1,2,1
3230,1455,keto,american,Pork Rind Keto Bread,144.68,15.62,206.49,keto Pork Rind Keto Bread american,1,0,1
3232,1456,keto,american,Whole30 + Keto Ranch Dressing,1.51,5.32,14.23,keto Whole30 + Keto Ranch Dressing american,0,0,0
3236,1457,keto,american,Cheesy Keto Pinwheels Recipes,82.63,342.01,105.41,keto Cheesy Keto Pinwheels Recipes american,1,1,3
3240,1458,keto,american,Keto Crab Stuffed Mushrooms,77.73,14.88,74.3,keto Keto Crab Stuffed Mushrooms american,3,0,3
3244,1459,keto,american,Keto Kentucky Bourbon Balls,11.89,205.13,175.95,keto Keto Kentucky Bourbon Balls american,0,1,1
3245,1460,keto,american,Keto Fudge Popsicles Recipe,11.95,24.17,125.38,keto Keto Fudge Popsicles Recipe american,0,0,1
3247,1461,keto,american,Keto Cheesy Chicken Fritters,103.22,8.42,89.1,keto Keto Cheesy Chicken Fritters american,1,0,3
3255,1462,keto,american,Easy Raspberry Keto Cheesecake,20.24,34.03,146.91,keto Easy Raspberry Keto Cheesecake american,2,2,1
3256,1463,keto,american,Keto Cheesecake Stuffed Strawberries,18.09,98.65,118.1,keto Keto Cheesecake Stuffed Strawberries american,2,3,1
3261,1464,keto,american,Keto Cabbage With Bacon Recipes,16.43,9.6,46.18,keto Keto Cabbage With Bacon Recipes american,0,0,2
3262,1465,keto,american,Keto Lupin Flour Biscuits,105.88,100.07,158.19,keto Keto Lupin Flour Biscuits american,1,3,1
3263,1466,keto,american,Keto Bacon Ranch Dressing,24.91,8.19,180.78,keto Keto Bacon Ranch Dressing american,2,0,1
3265,1467,keto,american,Keto Cauliflower Pepper Soup,12.08,23.42,59.09,keto Keto Cauliflower Pepper Soup american,0,0,2
3267,1468,keto,american,Vegetarian Keto Club Salad,51.38,19.65,83.01,keto Vegetarian Keto Club Salad american,3,0,3
3270,1469,keto,american,Keto Ceasar Salad Recipes,46.87,10.31,144.09,keto Keto Ceasar Salad Recipes american,3,0,1
3271,1470,keto,american,Keto Mocha Mousse Recipes,22.27,103.4,169.47,keto Keto Mocha Mousse Recipes american,2,3,1
3272,1471,keto,american,Keto Vanilla-Nutmeg “Oatmeal”,7.58,16.28,56.01,keto Keto Vanilla-Nutmeg “Oatmeal” american,0,0,2
3277,1472,keto,american,Keto Tater Tot Casserole,151.71,42.19,151.02,keto Keto Tater Tot Casserole american,1,2,1
3283,1473,keto,american,Keto Southern Style Meatloaf,177.5,47.0,196.68,keto Keto Southern Style Meatloaf american,1,2,1
3284,1474,keto,american,Keto Crispy Pork Cutlets,157.36,6.05,227.96,keto Keto Crispy Pork Cutlets american,1,0,1
3285,1475,keto,american,Keto Mock Potato Salad,45.67,66.83,110.63,keto Keto Mock Potato Salad american,3,2,3
3286,1476,keto,american,Keto Chili Stuffed Peppers,149.48,99.44,213.19,keto Keto Chili Stuffed Peppers american,1,3,1
3287,1477,keto,american,Keto Tuna Fish Salad,69.72,31.61,36.04,keto Keto Tuna Fish Salad american,3,2,2
3288,1478,keto,american,Keto Chicken Zucchini Meatballs,49.88,9.38,29.89,keto Keto Chicken Zucchini Meatballs american,3,0,0
3289,1479,keto,american,Keto Bacon And Roasted Cabbage,25.56,34.74,58.12,keto Keto Bacon And Roasted Cabbage american,2,2,2
3290,1480,keto,american,Keto Bunless Bacon Cheeseburger,128.3,12.66,182.48,keto Keto Bunless Bacon Cheeseburger american,1,0,1
3292,1481,keto,american,Keto Philly Cheesesteak Skillet,172.49,60.51,188.29,keto Keto Philly Cheesesteak Skillet american,1,2,1
3293,1482,keto,american,Keto Honey Mustard Dressing,4.89,17.01,182.03,keto Keto Honey Mustard Dressing american,0,0,1
